node1_id,node1_name,node2_id,node2_name,distance_m,cost_per_meter,total_cost
0,ПС Дніпро-Центр,5,ПС Новокодацька,4487.72,150.00,673158.00
2,ПС Дніпро-Південь,5,ПС Новокодацька,2486.89,150.00,373034.04
0,ПС Дніпро-Центр,4,ПС Дніпро-Захід,5168.31,150.00,775246.75
0,ПС Дніпро-Центр,1,ПС Дніпро-Північ,5333.79,150.00,800067.86
0,ПС Дніпро-Центр,3,ПС Дніпро-Схід,5472.91,150.00,820936.07
1,ПС Дніпро-Північ,9,ПС Підгородне,6832.25,150.00,1024836.96
8,ПС Новомосковськ,9,ПС Підгородне,12398.52,150.00,1859777.65
8,ПС Новомосковськ,24,ПС Магдалинівка,11839.12,150.00,1775868.72
3,ПС Дніпро-Схід,19,ПС Васильківка,20912.32,150.00,3136847.86
18,ПС Синельникове,19,ПС Васильківка,13066.62,150.00,1959993.39
16,ПС Тернівка,24,ПС Магдалинівка,22238.08,150.00,3335711.86
15,ПС Павлоград,16,ПС Тернівка,21406.35,150.00,3210952.28
4,ПС Дніпро-Захід,7,ПС Кам'янське-2,25658.30,150.00,3848744.43
6,ПС Кам'янське,7,ПС Кам'янське-2,3142.36,150.00,471353.87
6,ПС Кам'янське,23,ПС Верхньодніпр.,26767.91,150.00,4015186.97
15,ПС Павлоград,17,ПС Першотравенськ,44612.20,150.00,6691830.09
22,ПС П'ятихатки,23,ПС Верхньодніпр.,52247.52,150.00,7837127.36
21,ПС Жовті Води,22,ПС П'ятихатки,16883.50,150.00,2532524.70
11,ПС Кривий Ріг-2,21,ПС Жовті Води,47543.12,150.00,7131467.49
10,ПС Кривий Ріг-1,11,ПС Кривий Ріг-2,3427.58,150.00,514136.72
10,ПС Кривий Ріг-1,12,ПС Кривий Ріг-3,2901.57,150.00,435235.43
11,ПС Кривий Ріг-2,20,ПС Апостолове,39324.23,150.00,5898633.93
13,ПС Нікополь,20,ПС Апостолове,51418.46,150.00,7712768.46
13,ПС Нікополь,14,ПС Марганець,18147.17,150.00,2722075.40
